Informe de stock
Codigo	Producto	Marca	Stock
2	asdas	asdasdas	5
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
1			0
